"key","scientificName","decimalLatitude","decimalLongitude","datasetKey"
2996641517,"Setaria glauca (L.) P.Beauv.",0,0,"5c9a924c-8d45-4452-8604-415a118578aa"
4031672318,"Cenchrus americanus (L.) Morrone",-23.417222,46.451389,"7bd65a7a-f762-11e1-a439-00145eb45e9a"
3913474489,"Pennisetum glaucum (L.) R.Br.",6.525258,3.361124,"daa854d5-03c3-4203-a004-9423bfea5c36"
1949106116,"Cenchrus americanus (L.) Morrone",13.15,20.65,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949106161,"Cenchrus americanus (L.) Morrone",12.683333,20.9,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949107215,"Cenchrus americanus (L.) Morrone",12.7,20.816667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949107858,"Cenchrus americanus (L.) Morrone",14.1,20.6,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949108704,"Cenchrus americanus (L.) Morrone",13.916667,21.05,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1948860801,"Cenchrus americanus (L.) Morrone",12.433333,2.166667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
4066475727,"Pennisetum glaucum (L.) R.Br.",6.5,2.06667,"b2df52a4-6143-46d5-8727-f808d8e25feb"
1304327672,"Pennisetum glaucum (L.) R.Br.",6.5,2.666667,"07044577-bd82-4089-9f3a-f4a9d2170b2e"
1438040174,"Pennisetum glaucum (L.) R.Br.",6.4975,2.664167,"672303ae-0589-4308-9e34-5f386167e60e"
1438042074,"Pennisetum glaucum (L.) R.Br.",6.50207,2.673805,"672303ae-0589-4308-9e34-5f386167e60e"
1948866386,"Cenchrus americanus (L.) Morrone",14.366667,-0.316667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1948867135,"Cenchrus americanus (L.) Morrone",14.633333,-0.066667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1948987821,"Cenchrus americanus (L.) Morrone",13.2,1.783333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
2825610779,"Setaria glauca (L.) P.Beauv.",23.566667,34.633333,"eb7681c5-5c9c-4e28-954f-f328991c7004"
4066475443,"Pennisetum glaucum (L.) R.Br.",12.10444,3.16472,"b2df52a4-6143-46d5-8727-f808d8e25feb"
1304310350,"Pennisetum glaucum (L.) R.Br.",12.102667,3.158833,"07044577-bd82-4089-9f3a-f4a9d2170b2e"
1438039991,"Pennisetum glaucum (L.) R.Br.",12.100167,3.156333,"672303ae-0589-4308-9e34-5f386167e60e"
1438041118,"Pennisetum glaucum (L.) R.Br.",12.096972,3.163124,"672303ae-0589-4308-9e34-5f386167e60e"
3001031902,"Pennisetum americanum (L.) Leeke",12.1027,3.1588,"d853a7fd-73cb-4d02-829c-7ff59f9e494f"
1949034061,"Cenchrus americanus (L.) Morrone",19.35,37.25,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949034448,"Cenchrus americanus (L.) Morrone",18.95,37.366667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
4066537998,"Pennisetum glaucum (L.) R.Br.",10.78333,0.9,"b2df52a4-6143-46d5-8727-f808d8e25feb"
1304310330,"Pennisetum glaucum (L.) R.Br.",10.783333,0.9,"07044577-bd82-4089-9f3a-f4a9d2170b2e"
1948864574,"Cenchrus americanus (L.) Morrone",14.533333,-0.083333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1948861541,"Cenchrus americanus (L.) Morrone",14.816667,-0.616667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033291,"Cenchrus americanus (L.) Morrone",19.166667,37.3,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033281,"Cenchrus americanus (L.) Morrone",19.083333,37.333333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033273,"Cenchrus americanus (L.) Morrone",18.75,37.466667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033576,"Cenchrus americanus (L.) Morrone",19.35,37.283333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033343,"Cenchrus americanus (L.) Morrone",19.183333,37.3,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033632,"Cenchrus americanus (L.) Morrone",19.066667,37.333333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033593,"Cenchrus americanus (L.) Morrone",19.05,37.333333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033590,"Cenchrus americanus (L.) Morrone",18.916667,37.383333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033712,"Cenchrus americanus (L.) Morrone",19.35,37.233333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033728,"Cenchrus americanus (L.) Morrone",19.266667,37.266667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033759,"Cenchrus americanus (L.) Morrone",19.183333,37.283333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033612,"Cenchrus americanus (L.) Morrone",19.016667,37.333333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949034074,"Cenchrus americanus (L.) Morrone",18.983333,37.283333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949033893,"Cenchrus americanus (L.) Morrone",18.733333,37.466667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
3001000453,"Pennisetum americanum (L.) Leeke",7.2333,2.7167,"d853a7fd-73cb-4d02-829c-7ff59f9e494f"
4060949006,"Setaria glauca (L.) P.Beauv.",-4.866667,29.5,"e053ff53-c156-4e2e-b9b5-4462e9625424"
1304310320,"Pennisetum glaucum (L.) R.Br.",11.866667,3.383333,"07044577-bd82-4089-9f3a-f4a9d2170b2e"
4066460941,"Pennisetum glaucum (L.) R.Br.",11.86667,3.38333,"b2df52a4-6143-46d5-8727-f808d8e25feb"
1438040144,"Pennisetum glaucum (L.) R.Br.",11.864167,3.380833,"672303ae-0589-4308-9e34-5f386167e60e"
1948986654,"Cenchrus americanus (L.) Morrone",13.733333,1.833333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1304361950,"Pennisetum glaucum (L.) R.Br.",10.76,1.4,"07044577-bd82-4089-9f3a-f4a9d2170b2e"
4066455561,"Pennisetum typhoides (Burm.f.) Stapf & C.E.Hubb.",10.75167,1.4,"b2df52a4-6143-46d5-8727-f808d8e25feb"
4066460967,"Pennisetum glaucum (L.) R.Br.",10.28333,1.05,"b2df52a4-6143-46d5-8727-f808d8e25feb"
1304327626,"Pennisetum glaucum (L.) R.Br.",10.283333,1.5,"07044577-bd82-4089-9f3a-f4a9d2170b2e"
1438039085,"Pennisetum glaucum (L.) R.Br.",10.7575,1.3975,"672303ae-0589-4308-9e34-5f386167e60e"
1438036373,"Pennisetum glaucum (L.) R.Br.",10.754305,1.404291,"672303ae-0589-4308-9e34-5f386167e60e"
1949032614,"Cenchrus americanus (L.) Morrone",19,37.366667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949032649,"Cenchrus americanus (L.) Morrone",19.15,37.333333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949032506,"Cenchrus americanus (L.) Morrone",19.016667,37.366667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1949032893,"Cenchrus americanus (L.) Morrone",18.95,37.333333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
4060950042,"Setaria glauca (L.) P.Beauv.",-1.023333,31.6275,"e053ff53-c156-4e2e-b9b5-4462e9625424"
2516008411,"Pennisetum glaucum (L.) R.Br.",10.28333,1.5,"15f819bd-6612-4447-854b-14d12ee1022d"
1948815428,"Cenchrus americanus (L.) Morrone",11.65,3.15,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
3001043501,"Pennisetum glaucum (L.) R.Br.",9.913048,3.133127,"d853a7fd-73cb-4d02-829c-7ff59f9e494f"
4066473682,"Pennisetum glaucum (L.) R.Br.",11.8,3.21667,"b2df52a4-6143-46d5-8727-f808d8e25feb"
1304327705,"Pennisetum glaucum (L.) R.Br.",11.8,3.216667,"07044577-bd82-4089-9f3a-f4a9d2170b2e"
2517794033,"Cenchrus americanus (L.) Morrone",11.83333,3.23333,"15f819bd-6612-4447-854b-14d12ee1022d"
1949097673,"Cenchrus americanus (L.) Morrone",11.916667,21.266667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1948865111,"Cenchrus americanus (L.) Morrone",11.1,-0.966667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1948864986,"Cenchrus americanus (L.) Morrone",13.1,-1.083333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1948865118,"Cenchrus americanus (L.) Morrone",14.45,-0.233333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1948867669,"Cenchrus americanus (L.) Morrone",14.316667,-0.166667,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1948867812,"Cenchrus americanus (L.) Morrone",14.35,-0.333333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1948867971,"Cenchrus americanus (L.) Morrone",14.333333,-0.183333,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1948867651,"Cenchrus americanus (L.) Morrone",14.35,-0.05,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
1948867924,"Cenchrus americanus (L.) Morrone",14.45,-0.05,"eb605c7a-a91c-4ab8-a588-85d0ccb2be9e"
